referencia;residencial;industrial;comercial
2004-01-01;3694386;6977471;2450453
2004-02-01;3511541;7084623;2396965
2004-03-01;3629455;7087613;2402521
2004-04-01;3733863;7384540;2580914
2004-05-01;3537269;7258307;2344084
2004-06-01;3433443;7501655;2159479
2004-07-01;3457623;7580439;2233526
2004-08-01;3453322;7710196;2192652
2004-09-01;3596160;7747917;2359085
2004-10-01;3608130;7762817;2415036
2004-11-01;3608515;7869102;2418875
2004-12-01;3569438;7777337;2503405
2005-01-01;3873894;7298293;2564318
2005-02-01;3616967;7377942;2471439
2005-03-01;3711051;7406089;2584265
2005-04-01;3923735;7745456;2701315
2005-05-01;3655561;7505361;2502344
2005-06-01;3710837;7506188;2463656
2005-07-01;3626333;7608435;2354907
2005-08-01;3635143;7923121;2334137
2005-09-01;3819948;8006237;2511682
2005-10-01;3773673;7770445;2520176
2005-11-01;3774518;7721847;2581206
2005-12-01;3869508;7747980;2634338
2006-01-01;3895002;7352617;2638036
2006-02-01;3891195;7567739;2793261
2006-03-01;4121517;7503661;2815357
2006-04-01;3957604;7745038;2772579
2006-05-01;3811708;7592674;2534543
2006-06-01;3828066;7722371;2454777
2006-07-01;3768572;7736313;2392106
2006-08-01;3774740;8024273;2497544
2006-09-01;3888550;7876455;2575627
2006-10-01;3901043;7889940;2609245
2006-11-01;3997650;8027414;2703651
2006-12-01;4016723;7857892;2842322
2007-01-01;4183534;7828726;2789730
2007-02-01;4000465;7966169;2786112
2007-03-01;4219240;8156928;2939192
2007-04-01;4223592;8415087;3043236
2007-05-01;4104316;8352175;2764729
2007-06-01;3887323;8376953;2581799
2007-07-01;3813598;8223929;2522240
2007-08-01;3979163;8409270;2513753
2007-09-01;4058552;8606355;2738950
2007-10-01;4053969;8466749;2748375
2007-11-01;4229638;8655071;2904284
2007-12-01;4116989;8518635;2916529
2008-01-01;4412691;7733400;2955693
2008-02-01;4340742;7795758;2937432
2008-03-01;4179036;8217728;2924592
2008-04-01;4225451;8124682;2918220
2008-05-01;4386332;8244852;2896774
2008-06-01;4153532;8273796;2695492
2008-07-01;4186405;8470316;2685032
2008-08-01;4292183;8715979;2791889
2008-09-01;4208021;8557011;2844662
2008-10-01;4413750;8623648;2955147
2008-11-01;4456627;8358730;3108391
2008-12-01;4222422;7399288;2971975
2009-01-01;4648272;6430384;2989284
2009-02-01;4425160;6748877;3049301
2009-03-01;4666872;6940310;3230457
2009-04-01;4574496;7200761;3167307
2009-05-01;4466390;7042743;2929088
2009-06-01;4263405;7179707;2782927
2009-07-01;4390194;7391798;2758765
2009-08-01;4521489;7724095;2816727
2009-09-01;4516470;7902183;2949799
2009-10-01;4587326;8013929;3066268
2009-11-01;4586570;8103644;3227613
2009-12-01;4768804;7855316;3413601
2010-01-01;4934723;7348949;3260027
2010-02-01;4805332;7871394;3293548
2010-03-01;4841148;8094400;3408517
2010-04-01;4871630;8406675;3346021
2010-05-01;4594567;8324792;3122012
2010-06-01;4520711;8546983;2950238
2010-07-01;4385968;8520574;2820500
2010-08-01;4674267;8694721;3001909
2010-09-01;4715169;8725859;3116562
2010-10-01;4722642;8657739;3132785
2010-11-01;4672324;8702507;3179251
2010-12-01;4941867;8611134;3524145
2011-01-01;5255305;8236130;3487149
2011-02-01;5083728;8295036;3573759
2011-03-01;5128653;8345401;3553530
2011-04-01;4937010;8606025;3512605
2011-05-01;4856402;8421831;3310453
2011-06-01;4678006;8614877;3113468
2011-07-01;4784552;8522025;3078427
2011-08-01;4840012;8763759;3194445
2011-09-01;5036380;8795554;3355404
2011-10-01;4905359;8608766;3359320
2011-11-01;4885526;8698497;3402946
2011-12-01;4957747;8472685;3524609
2012-01-01;5138107;8004138;3512097
2012-02-01;5111298;8292046;3587243
2012-03-01;5470926;8440739;3863736
2012-04-01;5308429;8642446;3812378
2012-05-01;4954256;8371133;3479759
2012-06-01;5033564;8448415;3433501
2012-07-01;4828556;8322721;3262130
2012-08-01;4979107;8540168;3403874
2012-09-01;5108683;8614670;3562736
2012-10-01;5068966;8569742;3608276
2012-11-01;5369591;8573104;3916528
2012-12-01;5223040;7967830;3869697
2013-01-01;5757901;7819121;3997152
2013-02-01;5425917;8154579;3839762
2013-03-01;5373723;8164832;3901778
2013-04-01;5329736;8463316;3844698
2013-05-01;5269471;8454482;3701361
2013-06-01;5185998;8359244;3589719
2013-07-01;5063741;8292903;3474863
2013-08-01;5200951;8561514;3513265
2013-09-01;5196437;8498742;3688878
2013-10-01;5313978;8542498;3855692
2013-11-01;5420982;8669644;4049906
2013-12-01;5407419;8256004;4171501
2014-01-01;5991046;7830818;4297545
2014-02-01;6082595;8268487;4571717
2014-03-01;5783428;8000471;4297438
2014-04-01;5477028;8229108;4172930
2014-05-01;5455670;8002092;4004548
2014-06-01;5106123;7922678;3705710
2014-07-01;5294663;7587191;3668148
2014-08-01;5191948;7958162;3724566
2014-09-01;5194803;7828535;3836984
2014-10-01;5560649;7822355;4140729
2014-11-01;5714131;8197214;4335580
2014-12-01;5508771;7797703;4224267
2015-01-01;6476567;7344251;4476630
2015-02-01;5957795;7831952;4446794
2015-03-01;5573471;7736995;4320106
2015-04-01;5415655;7917888;4326175
2015-05-01;5176493;7666695;3979116
2015-06-01;4852845;7623856;3802300
2015-07-01;4913722;7453325;3661598
2015-08-01;5080894;7615559;3772081
2015-09-01;5030736;7514243;3780478
2015-10-01;5465728;7532546;4136559
2015-11-01;5457842;7404271;4262362
2015-12-01;5383171;7100174;4258472
2016-01-01;5864497;6678700;4227956
2016-02-01;5615379;7198404;4167271
2016-03-01;5532807;7306778;4155268
2016-04-01;5907371;7507463;4398022
2016-05-01;5330941;7338229;3960712
2016-06-01;5076992;7395683;3611034
2016-07-01;4937481;7423662;3507200
2016-08-01;4997655;7569355;3524375
2016-09-01;5299383;7540403;3706102
2016-10-01;5282756;7456992;3698574
2016-11-01;5407188;7434144;3902049
2016-12-01;5543528;7170266;4015309
2017-01-01;5934320;6924323;4219888
2017-02-01;5629521;7267815;4152985
2017-03-01;6041993;7183812;4276384
2017-04-01;5431606;7630039;4124395
2017-05-01;5290835;7100244;3885942
2017-06-01;5139605;7426304;3677308
2017-07-01;5061387;7396436;3490184
2017-08-01;4974452;7451707;3443507
2017-09-01;5307233;7616037;3723379
2017-10-01;5361592;7481015;3852910
2017-11-01;5537482;7737430;3978215
2017-12-01;5544800;7612805;4051793
2018-01-01;5863375;7505760;4079859
2018-02-01;5718347;7364373;4054596
2018-03-01;5957652;7995341;4218606
2018-04-01;5957746;7812472;4242008
2018-05-01;5536524;7496035;3926690
2018-06-01;5320618;7476361;3645483
2018-07-01;5186863;7789892;3569522
2018-08-01;5116358;7914508;3574642
2018-09-01;5360842;7702179;3707136
2018-10-01;5482086;7933623;3895859
2018-11-01;5585817;7871138;3980073
2018-12-01;5687379;7420487;4140015
2019-01-01;6389714;7545071;4370412
2019-02-01;6188834;7285407;4365504
2019-03-01;6072327;7556147;4303463
2019-04-01;5610278;7494816;4115920
2019-05-01;5785412;7597072;4141319
2019-06-01;5269701;7384031;3726296
2019-07-01;5152318;7434149;3547092
2019-08-01;5201820;7485988;3575392
2019-09-01;5376428;7411807;3768173
2019-10-01;5668331;7616449;4084436
2019-11-01;5967916;7523365;4293625
2019-12-01;5682864;7086548;4194166
2020-01-01;6159441;7075128;4229304
2020-02-01;5890217;7341090;4191409
2020-03-01;5894607;7587633;4072869
2020-04-01;5678228;6503650;3318789
2020-05-01;5426561;6357406;2982078
2020-06-01;5400703;6477439;2860468
2020-07-01;5496332;7279626;3015118
2020-08-01;5671487;7697947;3198269
2020-09-01;5756787;7723167;3431649
2020-10-01;6241392;8042503;3890202
2020-11-01;5999235;7878699;3718647
2020-12-01;6377972;7832769;3965809
